Date,FCPOTOTS Index  (R1),WMMFAMNA Index  (L1),WMMFAMAC Index  (R2)
2020-08-19,1006.7,751127,3671093
2020-08-12,1009.5,756339,3676646
2020-08-05,1018.4,757750,3695631
2020-07-29,1019.4,757280,3690729
2020-07-22,1021,762721,3703148
2020-07-15,1025.7,758503,3685726
2020-07-08,1006.7,764875,3762085
2020-07-01,1017.4,761081,3763714
2020-06-24,1028.1,765792,3786166
2020-06-17,1011,764725,3787226
2020-06-10,1028,761365,3822652
2020-06-03,1037.1,757510,3859974
2020-05-27,1050.9,750525,3903135
2020-05-20,1057.5,742471,3911569
2020-05-13,1061.6,728628,3924420
2020-05-06,1068.9,714521,3917836
2020-04-29,1092.9,698967,3898632
2020-04-22,1068.5,687387,3825152
2020-04-15,1058.8,668340,3716452
2020-04-08,1098.9,661367,3677223
2020-04-01,1105.7,654311,3612688
2020-03-25,1111.7,659004,3438943
2020-03-18,1146.8,712712,3094058
2020-03-11,1128.9,798092,2844731
2020-03-04,1123.6,798639,2750399
2020-02-26,1128.7,801902,2697115
2020-02-19,1123.4,809535,2687828
2020-02-12,1113,806069,2683687
2020-02-05,1119.1,797870,2682627
2020-01-29,1119.4,794757,2689434
2020-01-22,1115.1,794660,2700542
2020-01-15,1121.3,790262,2699599
2020-01-08,1125.9,787937,2708107
2020-01-01,1126.4,772803,2721120
2019-12-25,1131.1,776541,2690945
2019-12-18,1128.8,778622,2682943
2019-12-11,1139.5,786335,2694585
2019-12-04,1135.5,776666,2663552
2019-11-27,1138.2,775849,2662243
2019-11-20,1121,773331,2614083
2019-11-13,1131,766331,2667416
2019-11-06,1119.9,763130,2653649
2019-10-30,1113.1,750083,2625540
2019-10-23,1087.9,748619,2598995
2019-10-16,1079.3,742817,2586616
2019-10-09,1091.8,735690,2597162
2019-10-02,1092.7,731518,2596080
2019-09-25,1097.3,731976,2576675
2019-09-18,1093.5,731261,2537148
2019-09-11,1115.8,729215,2533671
2019-09-04,1123.9,722207,2523423
2019-08-28,1120.5,715084,2514206
2019-08-21,1130.2,714906,2528009
2019-08-14,1134.7,707132,2511840
2019-08-07,1139.9,707136,2493354
2019-07-31,1152.6,696474,2446445
2019-07-24,1151.4,697426,2449611
2019-07-17,1140.5,692018,2431167
2019-07-10,1143.9,682040,2431392
2019-07-03,1163.9,676418,2423051
2019-06-26,1130,673390,2382639
2019-06-19,1112.6,673436,2375339
2019-06-12,1098.8,672778,2363871
2019-06-05,1100,666812,2359814
2019-05-29,1084.5,661150,2350435
2019-05-22,1082.7,659233,2332546
2019-05-15,1090.9,653013,2307137
2019-05-08,1081.1,650921,2293591
2019-05-01,1064,645523,2291656
2019-04-24,1065,643151,2274169
2019-04-17,1081.2,644706,2265069
2019-04-10,1073.4,647129,2313727
2019-04-03,1087.4,637758,2329875
2019-03-27,1080.9,629342,2333399
2019-03-20,1083.3,633040,2292105
2019-03-13,1062.8,634160,2338191
2019-03-06,1068.6,634041,2338914
2019-02-27,1071.8,626993,2313687
2019-02-20,1061.6,622101,2311237
2019-02-13,1061.6,616186,2325401
2019-02-06,1056.9,607717,2314385
2019-01-30,1079.6,595097,2301643
2019-01-23,1067.8,594709,2312872
2019-01-16,1064.7,590500,2313251
2019-01-09,1073.2,585895,2333691
2019-01-02,1047.6,569537,2331138
2018-12-26,1055.3,565259,2328999
2018-12-19,1073,559477,2305493
2018-12-12,1089,562353,2298765
2018-12-05,1073.6,552214,2216939
2018-11-28,1089.4,548003,2257388
2018-11-21,1086.3,542891,2257278
2018-11-14,1082.5,539478,2244518
2018-11-07,1082.1,538427,2233724
2018-10-31,1085.6,531120,2219113
2018-10-24,1086.1,533869,2213421
2018-10-17,1081.2,535072,2202647
2018-10-10,1101.9,536568,2216293
2018-10-03,1100.2,532408,2205595
2018-09-26,1083.5,536155,2215887
2018-09-19,1073.9,538740,2195446
2018-09-12,1068.6,534242,2218138
2018-09-05,1067.6,531561,2220287
2018-08-29,1067,527614,2207713
2018-08-22,1068.6,521314,2215489
2018-08-15,1055.2,513827,2219173
2018-08-08,1072.5,511095,2223231
2018-08-01,1066.2,501569,2218574
2018-07-25,1069.2,496279,2212567
2018-07-18,1063.3,492478,2216164
2018-07-11,1077,485835,2226737
2018-07-04,1067.3,475902,2207604
2018-06-27,1087.3,476448,2212852
2018-06-20,1102.3,475464,2191525
2018-06-13,1109.4,474845,2243147
2018-06-06,1097.2,469754,2269260
2018-05-30,1107.1,463173,2237581
2018-05-23,1090.6,462485,2222758
2018-05-16,1068,461997,2224318
2018-05-09,1058.6,464938,2212298
2018-05-02,1052.6,457994,2214767
2018-04-25,1056.8,454983,2212922
2018-04-18,1065.3,455765,2210523
2018-04-11,1060,458074,2236721
2018-04-04,1049.8,454573,2244433
2018-03-28,1064.5,453260,2242197
2018-03-21,1065.7,457829,2232088
2018-03-14,1081.1,456404,2228250
2018-03-07,1093.5,456143,2265799
2018-02-28,1091.8,458624,2249057
