Date,RX1 Comdty  (R2),IK1 Comdty  (L2),OAT1 Comdty  (L1),RX1 Comdty  (R1),IK1 Comdty  (R3),OAT1 Comdty  (L3)
2020-08-19,176.73,148.01,168.72,138307,10006,38722
2020-08-18,176.43,147.84,168.42,514883,43127,155199
2020-08-17,176.21,147.83,168.21,470445,41954,102994
2020-08-14,175.76,147.1,167.73,486095,61655,145980
2020-08-13,175.56,146.81,167.64,635292,95777,185664
2020-08-12,176.24,147.47,168.42,642976,65773,149504
2020-08-11,176.66,147.56,168.69,562339,59317,140436
2020-08-10,177.5,147.94,169.32,366166,32992,98327
2020-08-07,177.17,148.02,168.96,394367,49007,108131
2020-08-06,177.6,147.89,169.15,547061,73857,211538
2020-08-05,177.1,147.36,168.68,492402,60180,135906
2020-08-04,177.81,147.61,169.26,454198,63732,123967
2020-08-03,177.31,146.95,168.71,380277,55494,120184
2020-07-31,177.52,146.99,168.75,573934,73339,178747
2020-07-30,177.69,147.38,168.99,531226,96713,115272
2020-07-29,176.95,147.02,168.46,431543,52872,105103
2020-07-28,177.13,146.87,168.63,494529,68668,113175
2020-07-27,176.8,147.18,168.52,481823,65406,137413
2020-07-24,176.09,146.89,167.85,608253,72408,139408
2020-07-23,176.72,147.16,168.47,404140,87194,128701
2020-07-22,176.93,146.52,168.52,482282,91978,136293
2020-07-21,176.37,145.91,168.16,407568,85047,119939
2020-07-20,176.37,145.84,168.2,465199,88329,125230
2020-07-17,176.27,144.76,167.89,332009,49484,100312
2020-07-16,176.62,144.76,168.15,472597,66772,152816
2020-07-15,176.12,144.39,167.69,538076,56024,112653
2020-07-14,176.2,144.4,167.74,476670,84806,114823
2020-07-13,175.63,143.96,167.2,503253,55407,100390
2020-07-10,176.63,144.12,167.89,477230,68792,117323
2020-07-09,176.52,144.36,167.91,443337,59929,128382
2020-07-08,176.13,144.38,167.66,435173,54141,117426
2020-07-07,175.88,144.23,167.5,413698,62093,119647
2020-07-06,175.96,144.03,167.51,407429,50939,89495
2020-07-03,176.02,143.72,167.41,244234,65280,92553
2020-07-02,176.01,144.28,167.44,628124,77876,243673
2020-07-01,175.29,143.5,166.59,550704,61640,121695
2020-06-30,176.52,143.88,167.65,534406,101888,133229
2020-06-29,176.66,143.33,167.72,350341,49212,82785
2020-06-26,176.7,143.45,167.71,399577,62638,107304
2020-06-25,176.55,143.21,167.62,526347,109942,136463
2020-06-24,176.01,143.72,167.33,592629,67296,128753
2020-06-23,175.61,143.72,167.07,559797,58451,147442
2020-06-22,176.11,143.47,167.48,440626,68324,120454
2020-06-19,175.68,142.66,167.02,383643,51113,108753
2020-06-18,175.59,142.46,166.86,548603,61252,165471
2020-06-17,175.4,142.1,166.65,596315,70471,126516
2020-06-16,175.4,142.09,166.59,592816,70810,131232
2020-06-15,175.52,141.73,166.42,475613,67947,110444
2020-06-12,175.57,141.58,166.38,513632,69630,127578
2020-06-11,175.24,141.12,165.99,598108,110208,169064
2020-06-10,173.81,140.23,164.68,644911,79546,153654
2020-06-09,173.46,140.91,164.74,646569,70105,160984
2020-06-08,170.22,143.26,167.22,11884,17338,13132
2020-06-05,169.86,143.14,166.87,183510,50229,64754
2020-06-04,170.54,143.21,167.4,1106159,215215,294312
2020-06-03,170.97,141.63,167.14,1448746,309528,301508
2020-06-02,171.86,142.02,167.91,1109518,199420,258898
2020-06-01,171.65,142.79,167.72,638434,110295,202357
2020-05-29,172.46,142.16,168.44,810335,147697,288065
2020-05-28,172.05,142.8,168.12,637250,83339,165285
2020-05-27,172.07,142.18,167.6,841045,123352,187057
