Date,GDBR10 Index  (R1),GFRN10 Index  (L1),GTNLG10Y Govt  (L1),GTATS10Y Govt  (L1),GTBEF10Y Govt  (L1),GTIEP10Y Govt  (L1),GTESP10Y Govt  (L1),GTITL10Y Govt  (L1),GTPTE10Y Govt  (L1),GTEURPL10Y Govt  (L1),GTGRD10Y Govt  (R1)
2020-08-18,-0.461,-0.17,-0.338,-0.289,-0.191,-0.129,0.312,0.932,0.342,-0.02,1.081
2020-08-17,-0.451,-0.159,-0.329,-0.28,-0.183,-0.116,0.323,0.929,0.342,0.011,1.099
2020-08-14,-0.421,-0.129,-0.3,-0.249,-0.153,-0.08,0.354,0.986,0.368,0.017,1.125
2020-08-13,-0.412,-0.124,-0.298,-0.245,-0.154,-0.07,0.367,1.01,0.394,0.02,1.11
2020-08-12,-0.447,-0.174,-0.339,-0.287,-0.205,-0.107,0.3,0.96,0.322,0.007,1.079
2020-08-11,-0.478,-0.202,-0.367,-0.305,-0.231,-0.133,0.277,0.941,0.294,0.027,1.069
2020-08-10,-0.526,-0.238,-0.416,-0.345,-0.267,-0.169,0.253,0.919,0.269,0.029,1.042
2020-08-07,-0.509,-0.214,-0.393,-0.321,-0.246,-0.148,0.275,0.927,0.293,0.034,1.006
2020-08-06,-0.531,-0.227,-0.411,-0.329,-0.255,-0.157,0.277,0.93,0.3,0.028,1.014
2020-08-05,-0.506,-0.201,-0.383,-0.301,-0.228,-0.131,0.307,0.971,0.323,0.035,1.039
2020-08-04,-0.553,-0.239,-0.427,-0.343,-0.264,-0.169,0.28,0.946,0.295,0.025,1.039
2020-08-03,-0.523,-0.203,-0.394,-0.31,-0.228,-0.132,0.332,1.006,0.342,0.039,1.081
2020-07-31,-0.524,-0.192,-0.394,-0.312,-0.217,-0.12,0.336,1.011,0.346,0.039,1.082
2020-07-30,-0.542,-0.217,-0.414,-0.333,-0.242,-0.146,0.313,0.969,0.318,0.034,1.06
2020-07-29,-0.498,-0.182,-0.374,-0.296,-0.207,-0.112,0.345,0.991,0.352,0.049,1.066
2020-07-28,-0.508,-0.196,-0.382,-0.31,-0.219,-0.124,0.352,1.006,0.363,0.049,1.069
2020-07-27,-0.491,-0.187,-0.369,-0.301,-0.212,-0.114,0.338,0.986,0.344,0.056,1.071
2020-07-24,-0.448,-0.147,-0.325,-0.256,-0.169,-0.07,0.348,0.996,0.352,0.068,1.06
2020-07-23,-0.481,-0.181,-0.354,-0.29,-0.198,-0.1,0.32,0.983,0.322,0.031,1.066
2020-07-22,-0.49,-0.183,-0.363,-0.297,-0.201,-0.082,0.331,1.035,0.341,0.034,1.119
2020-07-21,-0.46,-0.161,-0.335,-0.268,-0.176,-0.055,0.353,1.092,0.356,0.066,1.117
2020-07-20,-0.46,-0.164,-0.335,-0.273,-0.183,-0.056,0.353,1.102,0.362,0.087,1.125
2020-07-17,-0.447,-0.138,-0.315,-0.248,-0.159,-0.028,0.406,1.168,0.416,0.089,1.185
2020-07-16,-0.465,-0.151,-0.33,-0.265,-0.175,-0.044,0.398,1.185,0.414,0.089,1.225
2020-07-15,-0.444,-0.134,-0.309,-0.245,-0.16,-0.028,0.418,1.199,0.424,0.099,1.273
2020-07-14,-0.447,-0.132,-0.309,-0.245,-0.154,-0.025,0.405,1.211,0.411,0.09,1.271
2020-07-13,-0.417,-0.102,-0.277,-0.215,-0.124,0.003,0.44,1.235,0.446,0.1,1.208
2020-07-10,-0.465,-0.138,-0.323,-0.26,-0.16,-0.035,0.41,1.224,0.414,0.091,1.2
2020-07-09,-0.463,-0.141,-0.32,-0.255,-0.158,-0.034,0.404,1.223,0.412,0.092,1.09
2020-07-08,-0.44,-0.126,-0.299,-0.233,-0.144,-0.013,0.406,1.2,0.402,0.1,1.098
2020-07-07,-0.429,-0.119,-0.289,-0.227,-0.138,0.011,0.421,1.202,0.401,0.119,1.105
2020-07-06,-0.431,-0.119,-0.291,-0.227,-0.138,0.006,0.421,1.239,0.41,0.118,1.141
2020-07-03,-0.432,-0.108,-0.291,-0.221,-0.129,0.012,0.442,1.252,0.425,0.106,1.152
2020-07-02,-0.428,-0.11,-0.289,-0.213,-0.127,0.011,0.448,1.209,0.435,0.126,1.17
2020-07-01,-0.395,-0.061,-0.246,-0.168,-0.076,0.056,0.499,1.269,0.468,0.167,1.169
2020-06-30,-0.454,-0.111,-0.302,-0.221,-0.13,0.001,0.464,1.256,0.471,0.156,1.2
2020-06-29,-0.47,-0.122,-0.31,-0.231,-0.146,-0,0.466,1.295,0.469,0.155,1.251
2020-06-26,-0.482,-0.127,-0.319,-0.238,-0.15,0.015,0.454,1.289,0.454,0.154,1.264
2020-06-25,-0.468,-0.123,-0.306,-0.233,-0.142,0.021,0.455,1.302,0.46,0.173,1.293
2020-06-24,-0.44,-0.103,-0.286,-0.208,-0.123,0.044,0.465,1.265,0.453,0.178,1.26
