Date,SPY US Equity  (R1),QQQ US Equity  (R1),TLT US Equity  (R1),IEML LN Equity  (L3),EMBE LN Equity  (R1),EUNH GY Equity  (R3),EMLC US Equity  (L2),IS0M GY Equity  (L4),EWJ US Equity  (R4),ARKK US Equity  (R1),IMEU NA Equity  (L1),IAU US Equity  (R1),COPA LN Equity  (R2),USO US Equity  (R1)
2020-08-19,337.23,276.1,163.73,56.12,92.69,133.41,31.24,171.02,57.98,88.86,22.675,18.53,27.28,30.66
2020-08-18,338.64,277.97,164.76,55.74,92.465,133.225,31.36,170.89,58.29,88.58,22.52,19.12,26.79,30.6
2020-08-17,337.91,275.32,163.59,55.51,92.605,133.01,31.15,170.71,58.09,87.63,22.65,18.93,26.24,30.77
2020-08-14,336.84,272.16,163.18,55.855,92.685,132.77,31.27,170.15,57.85,84.72,22.57,18.55,25.885,30.33
2020-08-13,336.83,272.48,163.82,55.83,93.34,132.695,31.21,169.895,57.86,85.76,22.85,18.62,25.39,30.4
2020-08-12,337.44,271.86,165.59,55.61,93.62,133.215,31.17,170.48,57.93,83.95,23.135,18.2,26.2,30.56
2020-08-11,332.8,265.19,167.105,55.8,93.72,133.42,31.11,170.61,56.73,81.58,22.865,18.28,25.93,29.82
2020-08-10,335.57,270.31,169.12,55.78,93.685,133.85,31.06,170.93,56.27,83.47,22.485,19.31,25.945,30.16
2020-08-07,334.57,271.47,169.88,55.85,93.635,133.595,31.15,170.86,56,82.49,22.41,19.37,25.62,29.85
2020-08-06,334.33,274.64,171.02,56.09,93.625,133.68,31.38,170.77,55.98,84.87,22.345,19.71,26.29,30.18
2020-08-05,332.11,271.05,170.07,56.54,93.7,133.41,31.47,170.23,56.02,85.61,22.495,19.45,26.565,30.23
2020-08-04,330.06,270.38,171.57,56.03,92.895,133.715,31.45,170.45,56.06,84.2,22.4,19.27,26.22,29.78
2020-08-03,328.79,269.38,169.95,56.04,92.595,133.33,31.38,169.775,55.44,83.68,22.43,18.85,26.51,29.34
2020-07-31,326.52,265.79,171,56.47,92.1,133.35,31.58,169.73,54.33,80.37,21.975,18.86,26.21,29.07
2020-07-30,323.96,261.13,171.11,56.25,91.91,133.43,31.79,170.215,55.77,80.4,22.21,18.66,26.26,28.93
2020-07-29,325.12,259.77,169.99,56.66,91.975,133.155,31.85,169.93,56.62,80.07,22.695,18.81,26.49,29.57
2020-07-28,321.17,256.81,170.28,56.47,91.83,133.09,31.79,169.76,56.59,79.35,22.72,18.68,26.47,29.35
2020-07-27,323.22,260.12,169.11,56.84,91.99,133.11,31.89,170.03,56.94,81.97,22.615,18.51,26.22,29.72
2020-07-24,320.88,255.56,169.74,56.33,91.61,132.855,31.61,169.885,55.83,78.83,22.685,18.16,26.2,29.44
2020-07-23,322.96,258.01,169.75,56.44,92.03,133.105,31.59,170.11,55.89,80.47,23.09,18.02,26.625,29.41
2020-07-22,326.86,264.93,167.79,56.4,91.89,133.065,31.69,169.45,56.08,82.53,23.085,17.85,26.535,29.75
2020-07-21,325.01,264,167.29,56.1,91.88,132.755,31.55,168.93,56.23,82.52,23.28,17.59,26.725,29.72
2020-07-20,324.32,266.78,167.19,55.39,91.16,132.6,31.25,168.795,56.2,84.03,23.21,17.37,26.595,29.12
2020-07-17,321.72,259.42,166.78,55.43,90.475,132.325,31.11,167.83,56.16,80.67,23.05,17.29,26.37,29.1
2020-07-16,320.79,259.12,167.13,55.47,90.41,132.425,31.08,167.8,56.07,79.76,23.015,17.15,26.295,29.16
2020-07-15,321.85,260.9,166.34,56.81,90.58,132.51,31.24,167.5,56.65,80.93,23.105,17.33,26.145,29.29
2020-07-14,318.92,260.37,167.12,56.55,90.195,132.51,31.19,167.44,55.94,78.82,22.735,17.29,26.54,28.88
2020-07-13,314.84,258.54,166.88,56.84,90.48,132.095,31.03,167.07,55.5,78.14,22.91,17.21,26.92,28.5
2020-07-10,317.59,263.97,166.33,56.78,90.25,132.55,31.16,167.29,55.79,80.89,22.665,17.18,26.265,29.03
