Date,EUSA0102 CMPN Curncy  (R1),EUSA0302 Curncy  (L1),EUSA0502 Curncy  (R2),EUSA0702 Curncy  (L2),EUSA0902 Curncy  (R3)
2020-09-03,-0.4601,-0.3452,-0.1573,0.049,0.2441
2020-09-02,-0.4533,-0.341,-0.1489,0.0614,0.254
2020-09-01,-0.4286,-0.2998,-0.0987,0.1124,0.3117
2020-08-31,-0.4069,-0.2759,-0.0883,0.1202,0.3203
2020-08-28,-0.4139,-0.2741,-0.0741,0.1364,0.3383
2020-08-27,-0.4044,-0.2725,-0.0696,0.1333,0.3293
2020-08-26,-0.4025,-0.2889,-0.107,0.0925,0.2793
2020-08-25,-0.412,-0.3023,-0.1236,0.0519,0.2554
2020-08-24,-0.4362,-0.3412,-0.1769,0.0085,0.1998
2020-08-21,-0.44,-0.351,-0.184,-0.0031,0.1773
2020-08-20,-0.4305,-0.3384,-0.1826,-0.0041,0.1827
2020-08-19,-0.4189,-0.3294,-0.1615,0.0284,0.2116
2020-08-18,-0.4103,-0.3171,-0.1555,0.0306,0.2022
2020-08-17,-0.3956,-0.3144,-0.1396,0.044,0.2253
2020-08-14,-0.3828,-0.2719,-0.1103,0.0743,0.2692
2020-08-13,-0.3729,-0.2732,-0.0988,0.0895,0.265
2020-08-12,-0.3941,-0.3106,-0.1506,0.0335,0.2209
2020-08-11,-0.4068,-0.32,-0.1632,0.0158,0.1921
2020-08-10,-0.4285,-0.3622,-0.2214,-0.0466,0.1347
2020-08-07,-0.4146,-0.3275,-0.1933,-0.0192,0.1708
2020-08-06,-0.4263,-0.3511,-0.2265,-0.0276,0.1039
2020-08-05,-0.4191,-0.3273,-0.1872,-0.0293,0.1457
2020-08-04,-0.4408,-0.3847,-0.2386,-0.0715,0.0957
2020-08-03,-0.4276,-0.3509,-0.2095,-0.0285,0.145
2020-07-31,-0.435,-0.3516,-0.1938,-0.0262,0.1378
2020-07-30,-0.4427,-0.3681,-0.2295,-0.0569,0.0851
2020-07-29,-0.4147,-0.3298,-0.1886,-0.0211,0.1471
2020-07-28,-0.4254,-0.3553,-0.2191,-0.0355,0.1141
2020-07-27,-0.4129,-0.3371,-0.2017,-0.0207,0.0971
2020-07-24,-0.4,-0.3107,-0.1623,0.0135,0.1606
