Date,EUFOSC1 Curncy  (R2),EUBSVT10 Curncy  (R1),ASWABUND Curncy  (L1)
2020-09-02,-1,4.9,29.55
2020-09-01,-0.7,4.85,28.475
2020-08-31,-0.7,4.792,28.125
2020-08-28,-1,4.8,28.8
2020-08-27,-0.7,4.75,28.525
2020-08-26,-0.7,4.55,28
2020-08-25,-1.3,4.3005,28.8
2020-08-24,-1.2,4.15,30.4
2020-08-21,-1.3,4.05,30.6
2020-08-20,-1.3,4.1,29.9
2020-08-19,-0.8,4.1,29.65
2020-08-18,-0.7,4.1,29.55
2020-08-17,-0.4,4.05,29.2
2020-08-14,-0.4,4.05,28.8
2020-08-13,0.2,4.049,29.05
2020-08-12,0.3,3.9,29.75
2020-08-11,0.6,3.8,30.95
2020-08-10,0.7,3.8,31.85
2020-08-07,1.3,3.85,31.7
2020-08-06,1.2,4,32.25
2020-08-05,1.4,4.15,31.4
2020-08-04,1.1,4.15,32.25
2020-08-03,1.6,4.25,31.35
2020-07-31,,4.3,32.35
2020-07-30,1.9,4.55,31.9
2020-07-29,2.3,4.55,30.75
2020-07-28,2.4,4.6,30
2020-07-27,2.6,4.75,29.8
2020-07-24,,4.651,28.45
2020-07-23,,4.55,29.4
2020-07-22,2.6,4.7,29.725
2020-07-21,2.8,4.85,28.55
2020-07-20,3.5,4.841,29.4
2020-07-17,3.3,4.85,30
2020-07-16,3.5,4.85,30.5
2020-07-15,4.3,4.9,29.75
2020-07-14,5,4.8,30.2
2020-07-13,4.2,4.8,29.975
2020-07-10,3.7,4.8,31.325
2020-07-09,3.5,4.8,31.1
2020-07-08,3.4,4.95,30.55
2020-07-07,3.5,4.95,30.4
2020-07-06,3.3,5.1,30.2
2020-07-03,3.4,5.25,30.5
2020-07-02,3,5.3,29.8
2020-07-01,3.6,5.149,28.475
2020-06-30,3.5,5.3,31.275
2020-06-29,4,5.4495,31.85
2020-06-26,4.7,5.4,32.75
2020-06-25,5.6,5.6,32.8
2020-06-24,6.1,5.652,31
2020-06-23,5.8,5.8,29.2
2020-06-22,5.8,5.85,30.25
2020-06-19,6.1,5.903,29.9
2020-06-18,7.3,5.9,29.35
2020-06-17,8.8,5.95,29.95
2020-06-16,9.4,5.8,29.875
2020-06-15,9.5,5.7,30.5
2020-06-12,11,5.75,31.125
2020-06-11,11.3,5.7,30.2
2020-06-10,11.1,5.5,28.5
2020-06-09,10.6,5.4,27.15
2020-06-08,9.6,5.2,26.9
2020-06-05,10.4,5.15,25.9
2020-06-04,10.7,5.3,27.625
2020-06-03,10.9,5.3,30.3
2020-06-02,11.3,5.45,32.05
2020-06-01,11.3,5.6,31.5
2020-05-29,12.6,5.55,32.55
2020-05-28,14.2,5.5,32.25
2020-05-27,15.3,5.401,32.55
2020-05-26,16.8,5.65,33.95
2020-05-25,15.7,5.8,36.9
2020-05-22,15.1,5.65,36.6
2020-05-21,14.6,5.99,36.65
2020-05-20,14.4,6.05,36.125
2020-05-19,15.3,6,36
2020-05-18,16.1,5.995,37
2020-05-15,16.8,6.1,39.6
2020-05-14,16.9,6.149,39.75
2020-05-13,16.9,6,39.45
2020-05-12,18.4,6.2,38.35
2020-05-11,17.2,6.102,40.55
2020-05-08,16.6,5.65,41.75
2020-05-07,16.1,5.75,42.4
2020-05-06,16.6,5.6,40.55
2020-05-05,13.4,5.5,43.5
2020-05-04,11.9,5.401,42.9
2020-05-01,,5.55,
2020-04-30,11.3,5.55,43.7
2020-04-29,13.4,5.75,42
2020-04-28,15.7,5.65,41.1
2020-04-27,21.2,5.65,41.45
2020-04-24,24.6,5.45,42.4
2020-04-23,27.7,5.05,41.85
2020-04-22,30.5,5.015,43.35
2020-04-21,26.2,5.15,43.85
2020-04-20,22.4,5.5,41.5
2020-04-17,20.9,5.6,40.85
2020-04-16,21.6,5.65,40.65
2020-04-15,20.7,5.85,40.8
2020-04-14,17.6,5.8,37.2
2020-04-13,23.8,,
2020-04-10,,5.7,
2020-04-09,24.2,5.7,36.2
2020-04-08,29,5.4,36.85
2020-04-07,20.5,5.3,38.85
2020-04-06,17,5.15,41.25
2020-04-03,13,4.9,40.9
2020-04-02,12.7,4.95,40.3
2020-04-01,11.3,4.85,43.8
2020-03-31,11.3,4.7,46.4
2020-03-30,12.7,4.846,48.2
2020-03-27,12.7,4.95,46.7
2020-03-26,14,5.3,44.3
2020-03-25,13.8,5.35,40.3
2020-03-24,14.7,5.75,42.85
2020-03-23,16.3,5.9,42.55
2020-03-20,15.9,5.95,39.7
2020-03-19,13.4,5.9,36.55
2020-03-18,13.1,4.6,34.1
2020-03-17,13.9,4.15,39.8
2020-03-16,14.5,3.25,41.05
2020-03-13,9.1,2.7,46.35
2020-03-12,8.3,1.75,52.85
2020-03-11,8.7,3.5,51.75
2020-03-10,7.8,4.2,55.125
2020-03-09,8.3,4.65,55.6
2020-03-06,7.5,5.4,48.1
2020-03-05,6.7,5.6,46.925
2020-03-04,5.8,5.65,42.3
2020-03-03,4.7,5.705,42.45
2020-03-02,7.4,5.85,42.8
2020-02-28,6.3,5.898,43.3
2020-02-27,5.8,5.95,40.725
2020-02-26,5.4,5.805,38.95
2020-02-25,4.9,5.85,38.05
2020-02-24,4.2,5.755,36.675
2020-02-21,4.6,5.778,35.325
2020-02-20,4.8,5.755,35.425
2020-02-19,4.7,5.75,35.65
2020-02-18,5.05,5.8,35.85
2020-02-17,4.9,5.799,36.4
2020-02-14,4.6,5.85,36.8
2020-02-13,4.9,5.85,36.55
2020-02-12,4.6,5.85,37.2
2020-02-11,5.4,6,37.8
2020-02-10,5.3,6,38.3
2020-02-07,5.5,6.05,38.475
2020-02-06,5.6,6.05,38.85
2020-02-05,5.3,6.1,38.8
2020-02-04,5.4,6.1,39.05
2020-02-03,5.4,6.11,39.7
2020-01-31,5.2,6.107,39.95
2020-01-30,4.7,6.25,39.9
2020-01-29,5.2,6.355,39.4
2020-01-28,4.9,6.357,38.4
2020-01-27,5.6,6.4,38.4
2020-01-24,6.1,6.4,39.15
2020-01-23,6.3,6.397,39
2020-01-22,6.1,6.4,38.65
2020-01-21,5.9,6.45,38.4
2020-01-20,6,6.4,38.2
2020-01-17,5.8,6.4,38.45
2020-01-16,5.7,6.45,38.35
2020-01-15,5.9,6.4,38.7
2020-01-14,5.8,6.45,37.75
2020-01-13,5.9,6.45,37.25
2020-01-10,5.7,6.35,37.6
2020-01-09,5.4,6.4,37.05
2020-01-08,5.8,6.4495,37.15
2020-01-07,6.2,6.525,37.75
2020-01-06,6.3,6.34,38.5
2020-01-03,6.1,6.3,38.9
2020-01-02,5.9,6.35,38.1
2019-12-31,5.8,6.35,
2019-12-30,5.7,6.35,38.3
2019-12-27,6.1,6.35,39.7
2019-12-24,,6.3,
2019-12-23,6.3,6.303,39.4
2019-12-20,6.4,6.45,39.2
2019-12-19,6.2,6.45,38.3
2019-12-18,6.2,6.35,38.675
2019-12-17,6.5,6.45,39.123
2019-12-16,6.6,6.45,38.1
2019-12-13,5.8,6.6,38.1
2019-12-12,6,6.605,37.995
2019-12-11,5.9,6.65,39.725
2019-12-10,5.9,6.7,39.4
2019-12-09,5.8,6.75,39.8
2019-12-06,,6.75,39.4
2019-12-05,5.8,6.75,39.55
2019-12-04,5.7,6.85,40.65
2019-12-03,5.6,6.85,40.2
2019-12-02,5.4,6.85,39.2
2019-11-29,5.5,6.804,41.05
2019-11-28,5.5,6.75,40.7
2019-11-27,5.6,6.8,40.9
2019-11-26,5.9,6.65,41.7
2019-11-25,6,6.803,41.2
2019-11-22,,6.9,41.45
2019-11-21,6,6.995,40.75
2019-11-20,,6.95,41.45
2019-11-19,6,6.951,41.55
2019-11-18,6.4,6.902,41.246
2019-11-15,6.2,6.95,41
2019-11-14,6.6,6.952,41.35
2019-11-13,6.5,7.002,39.75
2019-11-12,6.7,7,39.1
2019-11-11,6.9,6.95,39.35
2019-11-08,6.9,6.95,40
2019-11-07,6.6,6.7625,39.075
2019-11-06,6.3,6.8,40.8
2019-11-05,7.1,6.7,40.5
2019-11-04,6.6,6.5,41.7
2019-11-01,6.5,6.45,42.05
2019-10-31,5.9,6.45,43
2019-10-30,5.3,6.5,42.15
2019-10-29,5.3,6.5,41.35
2019-10-28,5.6,6.354,41.2
2019-10-25,5.7,6.35,41.9
2019-10-24,5.7,6.45,41.25
2019-10-23,5.8,6.6015,39.8
2019-10-22,5.8,6.6,41.25
2019-10-21,6,6.65,40.9
2019-10-18,,6.655,41.6
2019-10-17,5.9,6.7,41.05
2019-10-16,5.5,6.75,41.2
2019-10-15,5.4,6.8,40.4
2019-10-14,5.2,6.801,41.1
2019-10-11,5.4,6.6,41.7
2019-10-10,5.5,6.55,40.6
2019-10-09,5.4,6.5,42.9
2019-10-08,5.3,6.65,43
2019-10-07,5,6.8,42.1
2019-10-04,4.9,6.85,42.4
2019-10-03,,6.865,42
2019-10-02,5,6.857,41
2019-10-01,5.1,6.715,41.65
2019-09-30,5.6,6.6,42.3
2019-09-27,5.4,6.6,42.05
2019-09-26,5.8,6.6,41.9
2019-09-25,5.8,6.65,41.2
2019-09-24,6.2,6.85,40.7
2019-09-23,6.3,6.95,41.1
2019-09-20,,7.05,41.1
2019-09-19,,6.95,40.9
2019-09-18,5.9,6.95,41.5
2019-09-17,6,6.9,41.325
2019-09-16,5.9,6.6,43.5
2019-09-13,5.1,6.5,44.975
2019-09-12,4.5,6.61,43.6
2019-09-11,4.8,6.801,43.3
2019-09-10,5.2,7.35,41.8
2019-09-09,5.3,7.551,41.9
2019-09-06,5.3,7.55,43.1
2019-09-05,5.8,7.6,42.975
2019-09-04,5.6,7.546,43.05
2019-09-03,5.3,7.387,43.19
