Date,Last Price,Open Price,High Price,Low Price,SMAVG (200),SMAVG (50),G 1 Comdty - Volume
2020-09-21,,,,,,,
2020-09-18,137.53,,,,136.09,137.43,
2020-09-17,137.55,136.9,136.9,136.9,136.06,137.43,39
2020-09-16,137.07,137.21,137.21,137.06,136.03,137.43,14
2020-09-15,137.11,137.35,137.36,137.04,136,137.44,541
2020-09-14,137.33,137.59,137.61,137.4,135.97,137.44,2109
2020-09-11,137.49,137.11,137.48,137.11,135.95,137.44,465
2020-09-10,136.82,136.67,136.91,136.66,135.92,137.44,220
2020-09-09,136.83,137.42,137.49,136.96,135.89,137.45,38
2020-09-08,137.56,136.7,137.62,136.7,135.87,137.46,265
2020-09-07,136.73,136.41,136.72,136.4,135.85,137.47,1128
2020-09-04,136.67,136.78,136.82,136.49,135.82,137.51,2058
2020-09-03,136.96,136.92,137.02,136.68,135.8,137.54,698
2020-09-02,136.84,136.33,136.94,136.33,135.78,137.57,1591
2020-09-01,135.98,136.02,136.16,135.58,135.75,137.59,6334
2020-08-28,135.95,135.44,136,135.26,135.73,137.64,9236
2020-08-27,135.63,136.25,136.55,135.55,135.71,137.68,25504
2020-08-26,136.03,136.2,136.44,135.94,135.69,137.72,227131
2020-08-25,136.47,137.06,137.06,136.32,135.67,137.77,481910
2020-08-24,137.21,137.15,137.39,137.09,135.64,137.8,431967
2020-08-21,137.16,136.91,137.34,136.86,135.61,137.82,320871
2020-08-20,136.98,136.92,137.19,136.8,135.58,137.84,164891
2020-08-19,136.91,137.11,137.4,136.82,135.55,137.87,200398
2020-08-18,137.05,137.16,137.27,136.82,135.52,137.87,215784
2020-08-17,137.03,136.82,137.12,136.71,135.49,137.87,132020
2020-08-14,136.71,136.72,136.84,136.56,135.47,137.85,143943
2020-08-13,136.7,136.96,137.15,136.54,135.44,137.85,172465
2020-08-12,136.81,137.02,137.12,136.74,135.41,137.85,252872
2020-08-11,137.24,138.08,138.13,137.17,135.39,137.85,279978
2020-08-10,138.12,137.8,138.34,137.69,135.37,137.87,156589
2020-08-07,137.97,138.33,138.47,137.78,135.34,137.86,169570
2020-08-06,138.47,137.89,138.6,137.86,135.31,137.87,224548
2020-08-05,138.13,138.73,138.78,138.03,135.28,137.86,210289
2020-08-04,138.73,138.48,138.93,138.37,135.25,137.87,219935
2020-08-03,138.49,138.34,138.55,138.27,135.22,137.85,132082
2020-07-31,138.55,138.7,138.86,138.32,135.19,137.85,181089
2020-07-30,138.65,138.47,138.81,138.41,135.15,137.85,199818
2020-07-29,138.27,138.44,138.56,138.21,135.12,137.85,154268
2020-07-28,138.39,138.18,138.51,138.08,135.08,137.84,213532
2020-07-27,138.34,138.05,138.38,137.95,135.05,137.82,136787
2020-07-24,137.9,138.34,138.46,137.82,135.02,137.8,167028
2020-07-23,138.22,138.2,138.44,138.13,134.99,137.8,172181
2020-07-22,138.27,137.96,138.29,137.94,134.96,137.8,158140
2020-07-21,138.01,137.79,138.07,137.73,134.93,137.79,175817
2020-07-20,137.89,137.54,137.98,137.51,134.91,137.78,105133
2020-07-17,137.76,137.95,138.06,137.65,134.89,137.77,137107
2020-07-16,138.09,137.82,138.2,137.74,134.88,137.77,209307
2020-07-15,137.65,137.76,137.88,137.36,134.86,137.76,218541
2020-07-14,137.88,137.69,138.01,137.59,134.85,137.76,221872
2020-07-13,137.38,137.61,137.81,137.25,134.83,137.76,133524
2020-07-10,137.88,137.92,138.15,137.74,134.81,137.77,155041
2020-07-09,137.77,137.42,137.88,137.4,134.8,137.76,206712
2020-07-08,137.52,137.66,137.82,137.38,134.78,137.76,145132
2020-07-07,137.46,137.33,137.69,137.21,134.76,137.75,184602
2020-07-06,137.24,137.25,137.28,137.01,134.75,137.74,114282
2020-07-03,137.43,137.33,137.57,137.22,134.74,137.73,81937
2020-07-02,137.43,137.19,137.45,137.03,134.72,137.73,210405
2020-07-01,137.08,137.23,137.42,136.95,134.71,137.72,222342
2020-06-30,137.64,137.8,137.98,137.46,134.69,137.71,203746
2020-06-29,137.8,137.39,137.84,137.32,134.67,137.7,124694
2020-06-26,138.52,138.6,138.62,138.52,134.65,137.67,269
2020-06-25,138.62,138.54,138.56,138.54,134.62,137.64,55
2020-06-24,138.24,,,,134.59,137.61,311
2020-06-23,138.05,,,,134.56,137.58,19
2020-06-22,138.3,138.18,138.2,138.18,134.54,137.55,15
2020-06-19,137.76,,,,134.52,137.52,8900
2020-06-18,137.88,138.49,138.62,137.55,134.49,137.5,5171
2020-06-17,138.36,,,,134.47,137.46,1062
2020-06-16,138.26,137.87,137.87,137.87,134.46,137.41,6
2020-06-15,138.09,138.38,138.38,138.24,134.44,137.37,152
2020-06-12,138.07,138.23,138.29,137.85,134.42,137.35,846
2020-06-11,138.28,137.99,138.29,137.79,134.41,137.32,3284
2020-06-10,137.33,136.62,137.47,136.62,134.4,137.29,3165
2020-06-09,136.65,136.79,136.86,136.5,134.39,137.26,2882
2020-06-08,136.47,136.43,136.62,136.31,134.38,137.26,648
2020-06-05,136.23,136.51,136.73,136.14,134.38,137.27,2899
2020-06-04,136.81,137.25,137.41,136.74,134.38,137.29,2857
2020-06-03,137.14,137.65,137.66,137.15,134.36,137.27,2387
2020-06-02,137.88,138.04,138.15,137.78,134.35,137.24,4958
2020-06-01,137.8,138.21,138.28,137.7,134.33,137.21,4872
2020-05-29,138.4,138.33,138.5,138.2,134.31,137.16,8701
2020-05-28,138.14,138.2,138.35,137.99,134.29,137.02,27671
2020-05-27,138.33,138.18,138.36,137.8,134.28,136.9,276957
2020-05-26,138,138.14,138.44,137.92,134.26,136.83,488455
2020-05-25,138.51,,,,134.24,136.79,
2020-05-22,138.51,138.63,138.99,138.28,134.22,136.76,357345
2020-05-21,138.47,138.08,138.57,137.96,134.2,136.75,312289
2020-05-20,137.66,137.64,137.94,137.58,134.18,136.74,255764
2020-05-19,137.56,137.39,137.81,136.94,134.17,136.77,342743
2020-05-18,137.48,137.71,138.13,137.37,134.15,136.81,144010
2020-05-15,137.82,138.17,138.4,137.68,134.13,136.84,130586
2020-05-14,137.96,138.27,138.37,137.8,134.11,136.83,236482
2020-05-13,137.89,137.8,138.08,137.7,134.09,136.81,246153
2020-05-12,137.57,137.05,137.68,137.04,134.07,136.79,307307
2020-05-11,137.36,137.5,137.59,137.18,134.05,136.77,147842
2020-05-08,137.69,,,,134.03,136.75,
2020-05-07,137.69,137.4,137.88,137.24,134,136.71,217004
2020-05-06,137.71,137.89,138,137.54,133.98,136.66,267709
2020-05-05,138.08,137.5,138.17,137.49,133.95,136.61,245063
2020-05-04,137.74,137.46,137.86,137.45,133.92,136.55,116484
2020-05-01,137.35,137.64,137.86,137.24,133.89,136.49,98502
2020-04-30,137.7,137.17,137.88,136.95,133.86,136.42,229730
2020-04-29,137.1,137.15,137.33,136.98,133.83,136.35,206921
2020-04-28,137.03,136.93,137.15,136.77,133.8,136.28,177172
2020-04-27,136.81,136.97,137.13,136.74,133.78,136.21,83617
2020-04-24,137.06,137.31,137.45,136.84,133.75,136.15,115384
2020-04-23,137.03,136,137.17,135.93,133.72,136.07,194736
2020-04-22,136.72,136.75,136.9,136.5,133.68,136.01,193909
2020-04-21,136.98,136.65,137.07,136.52,133.65,135.96,229639
2020-04-20,136.56,136.81,136.91,136.42,133.62,135.91,98503
2020-04-17,136.94,136.71,137.13,136.7,133.59,135.87,103188
