Date,GFRN10 Index  (R1),FRYC1030 Index  (L1),OATAISP Comdty  (R2)
2020-09-25,-0.252,67.363,5.709
2020-09-18,-0.221,68.577,4.687
2020-09-11,-0.19,69.407,2.831
2020-09-04,-0.174,70.386,1.749
2020-08-28,-0.108,71.015,2.927
2020-08-21,-0.2,67.534,4.634
2020-08-14,-0.129,66.484,3.55
2020-08-07,-0.214,66.17,6.109
2020-07-31,-0.192,69.427,2.581
2020-07-24,-0.147,69.616,1.934
2020-07-17,-0.138,71.657,2.818
2020-07-10,-0.138,68.985,0.989
2020-07-03,-0.108,72.442,1.624
2020-06-26,-0.127,70.401,0.524
2020-06-19,-0.088,69.668,-0.595
2020-06-12,-0.039,71.706,-2.121
2020-06-05,0.017,81.119,-4.779
2020-05-29,-0.078,76.163,-5.177
2020-05-22,-0.033,74.53,-9.093
2020-05-15,-0.024,74.357,-11.109
2020-05-08,-0.036,74.395,-8.56
2020-05-01,-0.11,68.704,-4.823
2020-04-24,0.025,64.386,-8.842
2020-04-17,0.032,67.072,-10.183
2020-04-10,0.107,67.552,-10.432
2020-04-03,0.075,69.222,-11.731
2020-03-27,-0.055,72.898,3.66
2020-03-20,0.117,52.424,-5.12
2020-03-13,0.018,58.905,-10.665
2020-03-06,-0.343,66.727,8.603
2020-02-28,-0.287,70.887,13.203
2020-02-21,-0.201,72.303,12.985
2020-02-14,-0.156,77.638,12.839
2020-02-07,-0.136,78.522,14.304
2020-01-31,-0.175,78.059,14.446
2020-01-24,-0.073,80.924,13.473
2020-01-17,0.044,82.139,12.113
2020-01-10,0.044,81.348,12.576
2020-01-03,0.026,80.27,11.129
2019-12-27,0.049,79.164,11.968
2019-12-20,0.052,78.348,10.839
2019-12-13,0.006,76.829,11.423
2019-12-06,0.034,76.964,9.933
2019-11-29,-0.049,76.154,12.52
2019-11-22,-0.044,78.939,13.449
2019-11-15,-0.02,78.068,12.9
2019-11-08,0.023,78.241,13.629
2019-11-01,-0.069,81.638,14.622
2019-10-25,-0.06,80.345,15.956
2019-10-18,-0.076,80.191,13.829
2019-10-11,-0.126,81.048,13.536
2019-10-04,-0.281,82.843,10.643
2019-09-27,-0.28,79.467,12.266
2019-09-20,-0.221,83.589,9.872
2019-09-13,-0.169,90.083,15.59
2019-09-06,-0.338,85.429,13.016
2019-08-30,-0.403,82.643,14.171
2019-08-23,-0.373,87.597,16.566
2019-08-16,-0.413,81.438,9.842
2019-08-09,-0.267,87.688,14.816
2019-08-02,-0.238,86.655,17.972
2019-07-26,-0.121,96.086,19.086
2019-07-19,-0.069,96.553,19.782
2019-07-12,0.061,97.643,19.494
2019-07-05,-0.084,90.407,21.689
2019-06-28,-0.005,93.522,20.528
2019-06-21,0.048,93.402,20.461
2019-06-14,0.094,94.657,17.853
2019-06-07,0.085,96.08,19.335
2019-05-31,0.21,103.735,16.336
2019-05-24,0.282,106.236,15.664
2019-05-17,0.286,103.352,16.793
2019-05-10,0.348,104.351,16.314
2019-05-03,0.373,102.739,19.027
2019-04-26,0.352,105.286,18.081
2019-04-19,0.37,106.342,19.396
2019-04-12,0.399,103.68,18.983
2019-04-05,0.362,95.113,20.451
2019-03-29,0.318,96.828,20.233
2019-03-22,0.354,93.004,18.944
2019-03-15,0.459,98.724,17.858
2019-03-08,0.407,102.406,14.882
2019-03-01,0.578,97.891,19.476
2019-02-22,0.516,98.941,19.199
2019-02-15,0.536,99.996,18.267
2019-02-08,0.541,98.562,16.244
2019-02-01,0.573,96.401,19.45
2019-01-25,0.598,93.105,20.7
2019-01-18,0.66,94.868,21.647
2019-01-11,0.664,93.79,20.463
2019-01-04,0.699,93.098,15.255
2018-12-28,0.71,91.029,16.417
2018-12-21,0.697,90.885,19.389
2018-12-14,0.712,91.929,21.312
2018-12-07,0.688,91.863,23.62
2018-11-30,0.684,94.507,27.162
2018-11-23,0.721,92.059,25.586
2018-11-16,0.764,92.266,24.842
2018-11-09,0.787,87.478,25.588
2018-11-02,0.785,85.983,27.092
2018-10-26,0.738,87.68,27.913
2018-10-19,0.84,85.195,25.319
2018-10-12,0.867,84.658,24.908
2018-10-05,0.905,82.68,26.351
2018-09-28,0.804,85.023,26.464
2018-09-21,0.779,88.725,27.412
2018-09-14,0.767,89.305,27.638
2018-09-07,0.719,89.387,27.668
2018-08-31,0.682,89.399,28.975
2018-08-24,0.687,88.16,29.368
2018-08-17,0.667,89.029,30.717
2018-08-10,0.67,87.568,31.271
2018-08-03,0.74,86.55,29.154
2018-07-27,0.703,86.763,32.191
2018-07-20,0.68,88.028,30.758
2018-07-13,0.618,87.691,35.632
2018-07-06,0.642,85.656,33.566
2018-06-29,0.665,86.638,31.641
2018-06-22,0.709,95.399,29.551
2018-06-15,0.733,91.433,29.365
2018-06-08,0.818,87.955,24.424
2018-06-01,0.709,89.912,29.911
2018-05-25,0.711,93.972,28.349
2018-05-18,0.832,87.203,27.344
2018-05-11,0.788,85.751,28.416
2018-05-04,0.782,86.349,26.483
2018-04-27,0.796,82.642,28.074
2018-04-20,0.811,82.703,27.203
2018-04-13,0.741,84.389,28.851
2018-04-06,0.736,84.5,29.663
2018-03-30,0.721,83.865,32.707
2018-03-23,0.759,81.187,31.61
2018-03-16,0.817,83.184,26.968
2018-03-09,0.891,82.116,25.76
2018-03-02,0.92,81.151,25.729
2018-02-23,0.933,82.442,24.705
2018-02-16,0.953,80.608,25.25
2018-02-09,0.985,74.32,22.571
2018-02-02,1.018,77.652,20.183
2018-01-26,0.913,83.587,20.04
2018-01-19,0.842,92.494,22.541
2018-01-12,0.852,91.298,21.055
2018-01-05,0.797,95.302,19.066
2017-12-29,0.785,97.008,20.632
2017-12-22,0.742,93.999,24.628
2017-12-15,0.632,93.611,26.528
2017-12-08,0.633,96.262,28.382
2017-12-01,0.607,95.615,29.192
2017-11-24,0.695,95.38,25.384
2017-11-17,0.706,100.521,25.218
2017-11-10,0.779,100.28,22.423
2017-11-03,0.753,97.632,21.327
2017-10-27,0.791,99.434,19.016
2017-10-20,0.862,96.533,16.668
2017-10-13,0.817,95.594,17.559
2017-10-06,0.735,108.816,14.2
2017-09-29,0.743,108.677,13.157
2017-09-22,0.732,108.268,12.658
2017-09-15,0.71,110.721,13.945
2017-09-08,0.616,112.587,13.081
2017-09-01,0.685,109.518,19.697
2017-08-25,0.695,107.316,18.368
2017-08-18,0.71,104.741,18.901
2017-08-11,0.678,102.512,20.592
2017-08-04,0.748,103.011,20.992
2017-07-28,0.806,105.43,20.627
2017-07-21,0.752,104.864,20.709
2017-07-14,0.862,102.415,16.669
2017-07-07,0.94,91.76,12.349
2017-06-30,0.815,92.363,16.451
2017-06-23,0.607,95.034,21.162
2017-06-16,0.632,94.945,21.257
2017-06-09,0.647,100.385,21.267
2017-06-02,0.709,98.523,18.877
2017-05-26,0.758,95.93,14.16
2017-05-19,0.808,97.373,10.29
2017-05-12,0.843,98.19,7.113
2017-05-05,0.845,96.564,11.427
2017-04-28,0.836,95.394,5.332
2017-04-21,0.94,88.321,-10.934
2017-04-14,0.918,96.042,-23.188
2017-04-07,0.893,99.794,-16.835
2017-03-31,0.97,99.898,-19.516
2017-03-24,0.985,96.151,-13.191
2017-03-17,1.109,95.958,-24.716
2017-03-10,1.116,98.423,-19.204
2017-03-03,0.941,96.867,-8.41
2017-02-24,0.928,95.399,-18.181
2017-02-17,1.038,100.078,-24.847
2017-02-10,1.057,101.643,-23.803
2017-02-03,1.08,98.986,-23.992
2017-01-27,1.031,96.977,-16.563
2017-01-20,0.906,103.021,-8.975
2017-01-13,0.804,100.236,-8.209
2017-01-06,0.831,94.313,-6.452
2016-12-30,0.686,92.114,0.826
2016-12-23,0.694,84.922,3.729
2016-12-16,0.767,88.912,0.933
2016-12-09,0.813,94.277,-5.017
2016-12-02,0.719,83.356,2.402
2016-11-25,0.795,79.338,-7.701
2016-11-18,0.76,76.216,-3.146
2016-11-11,0.748,79.411,-2.448
2016-11-04,0.464,76.025,11.146
2016-10-28,0.467,81.471,10.847
2016-10-21,0.287,79.453,18.218
2016-10-14,0.337,80.109,17.226
2016-10-07,0.315,80.78,15.845
2016-09-30,0.186,77.842,17.806
2016-09-23,0.215,77.649,15.566
2016-09-16,0.309,82.854,14.249
