Date,USGG10YR Index  (R1),USYC5Y30 Index  (R2),USSP10 Curncy  (L1)
2020-09-25,0.6528,113.034,2.63
2020-09-24,0.6659,113.097,2.1
2020-09-23,0.6724,114.445,1.38
2020-09-22,0.6708,115.572,1
2020-09-21,0.6658,114.731,0.75
2020-09-18,0.6937,116.907,0.63
2020-09-17,0.6887,116.019,0.5
2020-09-16,0.6969,117.565,0.5
2020-09-15,0.6789,115.719,0.75
2020-09-14,0.6723,114.636,0.5
2020-09-11,0.6658,115.842,1
2020-09-10,0.6772,114.968,0.63
2020-09-09,0.7001,117.574,0.22
2020-09-08,0.6788,115.228,0.22
2020-09-07,,,0.5
2020-09-04,0.718,117.079,0.55
2020-09-03,0.6347,111.161,1.75
2020-09-02,0.6477,112.567,1.5
2020-09-01,0.6689,116.523,0.75
2020-08-31,0.7048,120.576,0.5
2020-08-28,0.7211,123.054,0.5
2020-08-27,0.7522,119.496,0
2020-08-26,0.6884,112.608,0.25
2020-08-25,0.6835,109.881,-0.38
2020-08-24,0.6542,107.303,-0.88
2020-08-21,0.6282,107.478,0
2020-08-20,0.6509,110.941,-0.75
2020-08-19,0.6801,114.036,-1.75
2020-08-18,0.6687,111.683,-1.5
2020-08-17,0.6882,114.438,-1.13
2020-08-14,0.7094,115.102,-0.25
2020-08-13,0.7208,110.468,-2.13
2020-08-12,0.6747,106.825,-0.63
2020-08-11,0.6415,105.208,0.19
2020-08-10,0.5755,101.642,1.63
2020-08-07,0.564,100.102,1.25
2020-08-06,0.5362,98.339,0
2020-08-05,0.5477,99.823,-0.5
2020-08-04,0.5069,99.395,-0.23
2020-08-03,0.5543,101.012,-0.75
2020-07-31,0.5282,98.657,-0.75
2020-07-30,0.5462,97.471,-0.75
2020-07-29,0.5741,98.301,-0.75
2020-07-28,0.579,95.102,-0.5
2020-07-27,0.6151,97.329,-1
2020-07-24,0.5888,95.211,-0.75
2020-07-23,0.5774,95.882,-1
2020-07-22,0.5971,101.754,-1.63
2020-07-21,0.6004,104.308,-1.5
2020-07-20,0.6102,103.13,-2.25
2020-07-17,0.6266,104.387,-1.25
2020-07-16,0.6168,103.133,-1.75
2020-07-15,0.6299,104.237,-2
2020-07-14,0.6233,101.897,-2
2020-07-13,0.6184,102.119,-1.75
2020-07-10,0.6447,102.88,-1.38
2020-07-09,0.6135,102.86,-2
2020-07-08,0.6644,109.736,-2.75
2020-07-07,0.6397,108.615,-3
2020-07-06,0.6759,113.539,-2.78
2020-07-03,,,-2.5
2020-07-02,0.6693,112.982,-2.25
2020-07-01,0.6758,111.011,-2
2020-06-30,0.6561,112.129,-1.76
2020-06-29,0.6234,109.885,-1.52
2020-06-26,0.6413,106.591,-1.38
2020-06-25,0.6856,109.947,-1
2020-06-24,0.679,111.196,-1
2020-06-23,0.7118,116.024,-1.15
2020-06-22,0.7085,112.48,-1.47
2020-06-19,0.6937,113.003,-2
2020-06-18,0.7084,114.644,-2.25
2020-06-17,0.738,118.388,-2.67
2020-06-16,0.7528,119.889,-1.7
2020-06-15,0.7215,111.692,-1
2020-06-12,0.7034,112.597,-0.88
2020-06-11,0.669,107.736,-0.75
2020-06-10,0.7263,118.97,0
2020-06-09,0.8253,117.169,-1.25
2020-06-08,0.8752,119.303,-1.75
2020-06-05,0.8951,119.944,-1.5
2020-06-04,0.8234,122.178,-0.88
2020-06-03,0.7458,116.348,-1
2020-06-02,0.6852,116.785,-1
2020-06-01,0.6591,114.382,-0.75
2020-05-29,0.6526,110.122,-0.25
2020-05-28,0.69,111.193,-0.63
2020-05-27,0.6819,109.056,-1
2020-05-26,0.6965,109.517,-0.75
2020-05-25,,,0
2020-05-22,0.6591,103.387,0
2020-05-21,0.672,104.616,-1
2020-05-20,0.6801,105.852,-1.55
2020-05-19,0.6882,107.533,-1.75
2020-05-18,0.7257,106.31,-1.87
2020-05-15,0.6428,101.686,-1.88
2020-05-14,0.6218,98.425,-3.12
2020-05-13,0.6525,102.724,-3.63
2020-05-12,0.6651,104.398,-3.75
2020-05-11,0.7099,106.327,-5.25
2020-05-08,0.6831,104.749,-4.13
2020-05-07,0.6409,102.205,-3.45
2020-05-06,0.703,102.024,-3.7
2020-05-05,0.6619,95.542,-0.63
2020-05-04,0.6336,91.104,-0.5
2020-05-01,0.6118,89.63,0.5
2020-04-30,0.6393,92.084,0.5
2020-04-29,0.6269,88.125,1
2020-04-28,0.6129,82.758,0.9
2020-04-27,0.6605,85.04,1.75
2020-04-24,0.6008,79.456,3
2020-04-23,0.6015,80.886,3.62
2020-04-22,0.619,84.625,4.3
2020-04-21,0.5691,82.545,6.88
2020-04-20,0.6053,87.119,6.5
2020-04-17,0.6417,89.894,7
2020-04-16,0.6267,86.515,7.44
2020-04-15,0.6316,92.559,6.75
2020-04-14,0.752,97.977,7.05
2020-04-13,0.7713,95.588,7
2020-04-10,,,7.75
2020-04-09,0.7191,94.035,7.75
2020-04-08,0.7722,90.198,5.32
2020-04-07,0.7122,83.643,5.75
2020-04-06,0.6698,83.624,4.5
2020-04-03,0.5948,82.343,5.37
2020-04-02,0.597,85.961,5.75
2020-04-01,0.5832,86.49,9.62
2020-03-31,0.6695,93.834,4.5
