Date,MPMIUSMA Index  (R3),MPMIDEMA Index  (R1),MPMIFRMA Index  (R1),MPMICAMA Index  (L4),MPMIMXMA Index  (L2),MPMITRMA Index  (R4),CPMINDX Index  (R2),MPMIKRMA Index  (R1),MPMIJPMA Index  (L1),MPMIGBMA Index  (R1),MPMIPLMA Index  (L3),PMISSURV Index  (R1)
2020-08-31,53.1,52.2,49.8,55.1,41.3,54.3,51,48.5,47.2,55.2,50.6,53.4
2020-07-31,50.9,51,52.4,52.9,40.4,56.9,51.1,46.9,45.2,53.3,52.8,51.4
2020-06-30,49.8,45.2,52.3,47.8,38.6,53.9,50.9,43.4,40.1,50.1,47.2,48.1
2020-05-31,39.8,36.6,40.6,40.6,38.3,40.9,50.6,41.3,38.4,40.7,40.6,40.4
2020-04-30,36.1,34.5,31.5,33,35,33.4,50.8,41.6,41.9,32.6,31.9,37.2
2020-03-31,48.5,45.4,43.2,46.1,47.9,48.1,52,44.2,44.8,47.8,42.4,43.4
2020-02-29,50.7,48,49.8,51.8,50,52.4,35.7,48.7,47.8,51.7,48.2,52.9
2020-01-31,51.9,45.3,51.1,50.6,49,51.3,50,49.8,48.8,50,47.4,51.8
2019-12-31,52.4,43.7,50.4,50.4,47.1,49.5,50.2,50.1,48.4,47.5,48,47.6
2019-11-30,52.6,44.1,51.7,51.4,48,49.5,50.2,49.4,48.9,48.9,46.7,46
2019-10-31,51.3,42.1,50.7,51.2,50.4,49,49.3,48.4,48.4,49.6,45.6,46.2
2019-09-30,51.1,41.7,50.1,51,49.1,50,49.8,48,48.9,48.3,47.8,46
2019-08-31,50.3,43.5,51.1,49.1,49,48,49.5,49,49.3,47.4,48.8,50.9
2019-07-31,50.4,43.2,49.7,50.2,49.8,46.7,49.7,47.3,49.4,48,47.4,51
2019-06-30,50.6,45,51.9,49.2,49.2,47.9,49.4,47.5,49.3,48,48.4,51.9
2019-05-31,50.5,44.3,50.6,49.1,50,45.3,49.4,48.4,49.8,49.4,48.8,53.3
2019-04-30,52.6,44.4,50,49.7,50.1,46.8,50.1,50.2,50.2,53.1,49,51.4
2019-03-31,52.4,44.1,49.7,50.5,49.8,47.2,50.5,48.8,49.2,55.1,48.7,52.5
2019-02-28,53,47.6,51.5,52.6,52.6,46.4,49.2,47.2,48.9,52.1,47.6,51.7
2019-01-31,54.9,49.7,51.2,53,50.9,44.2,49.5,48.3,50.3,52.8,48.2,51.9
2018-12-31,53.8,51.5,49.7,53.6,49.7,44.2,49.4,49.8,52.6,54.3,47.6,52.6
2018-11-30,55.3,51.8,50.8,54.9,49.7,44.7,50,48.6,52.2,53.3,49.5,56.3
2018-10-31,55.7,52.2,51.2,53.9,50.7,44.3,50.2,51,52.9,51.1,50.4,55.7
2018-09-30,55.6,53.7,52.5,54.8,51.7,42.7,50.8,51.3,52.5,53.7,50.5,55.5
2018-08-31,54.7,55.9,53.5,56.8,50.7,46.4,51.3,49.9,52.5,52.9,51.4,54.1
2018-07-31,55.3,56.9,53.3,56.9,52.1,49,51.2,48.3,52.3,53.9,52.9,56
2018-06-30,55.4,55.9,52.5,57.1,52.1,46.8,51.5,49.8,53,54,54.2,55
2018-05-31,56.4,56.9,54.4,56.2,51,46.4,51.9,48.9,52.8,54.3,53.3,55.8
2018-04-30,56.5,58.1,53.8,55.5,51.6,48.9,51.4,48.4,53.8,53.8,53.9,55.5
2018-03-31,55.6,58.2,53.7,55.7,52.4,51.8,51.5,49.1,53.1,54.8,53.7,55.2
2018-02-28,55.3,60.6,55.9,55.6,51.6,55.6,50.3,50.3,54.1,55.3,53.7,58.9
2018-01-31,55.5,61.1,58.4,55.9,52.6,55.7,51.3,50.7,54.8,55.2,54.6,56.3
2017-12-31,55.1,63.3,58.8,54.7,51.7,54.9,51.6,49.9,54,55.7,55,59.7
2017-11-30,53.9,62.5,57.7,54.4,52.4,52.9,51.8,51.2,53.6,58.2,54.2,62.7
2017-10-31,54.6,60.6,56.1,54.3,49.2,52.8,51.6,50.2,52.8,56.6,53.4,59.9
2017-09-30,53.1,60.6,56.1,55,52.8,53.5,52.4,50.6,52.9,55.5,53.7,64
2017-08-31,,,,,,,51.7,,,,,56.9
2017-07-31,,,,,,,51.4,,,,,59.2
2017-06-30,,,,,,,51.7,,,,,63.2
2017-05-31,,,,,,,51.2,,,,,58.7
2017-04-30,,,,,,,51.2,,,,,63
2017-03-31,,,,,,,51.8,,,,,64.5
2017-02-28,,,,,,,51.6,,,,,60.2
2017-01-31,,,,,,,51.3,,,,,61.3
2016-12-31,,,,,,,51.4,,,,,59.4
2016-11-30,,,,,,,51.7,,,,,56.8
2016-10-31,,,,,,,51.2,,,,,59.4
2016-09-30,,,,,,,50.4,,,,,55.3
2016-08-31,,,,,,,50.4,,,,,53.5
2016-07-31,,,,,,,49.9,,,,,54.6
2016-06-30,,,,,,,50,,,,,53.6
2016-05-31,,,,,,,50.1,,,,,54
2016-04-30,,,,,,,50.1,,,,,53.8
2016-03-31,,,,,,,50.2,,,,,52.3
2016-02-29,,,,,,,49,,,,,51.2
2016-01-31,,,,,,,49.4,,,,,54.2
2015-12-31,,,,,,,49.7,,,,,55.2
2015-11-30,,,,,,,49.6,,,,,54.7
2015-10-31,,,,,,,49.8,,,,,54.6
2015-09-30,,,,,,,49.8,,,,,53.8
