Date;Last Price;Open Price;High Price;Low Price;SMAVG (200);SMAVG (50);RX1 Comdty - Volume
2020-09-21;174.58;174.08;174.64;173.95;174.13;176.13;259600
2020-09-18;174.07;174.07;174.43;173.93;174.11;176.15;438515
2020-09-17;174.26;174.05;174.45;173.74;174.09;176.2;647265
2020-09-16;173.92;174.12;174.29;173.84;174.07;176.24;456236
2020-09-15;174;174.05;174.15;173.78;174.06;176.29;473821
2020-09-14;174;174.02;174.32;173.91;174.04;176.32;433609
2020-09-11;173.96;173.66;174.04;173.54;174.03;176.36;462581
2020-09-10;173.11;173.61;173.91;173.06;174.02;176.4;667105
2020-09-09;173.68;174.34;174.41;173.51;174.01;176.46;608711
2020-09-08;176.93;176.52;176.94;176.42;173.99;176.5;14264
2020-09-07;176.52;176.47;176.86;176.19;173.96;176.49;133125
2020-09-04;176.78;176.93;177.04;176.37;173.94;176.49;615880
2020-09-03;177.07;176.74;177.18;176.49;173.91;176.49;1289954
2020-09-02;176.67;176.12;176.82;176;173.88;176.48;1138611
2020-09-01;175.72;175.46;176.18;175.17;173.85;176.46;988390
2020-08-31;175.56;175.63;175.78;175.22;173.82;176.46;629222
2020-08-28;175.68;175.29;175.82;175.06;173.8;176.47;916048
2020-08-27;175.44;175.94;176.58;175.28;173.77;176.47;873374
2020-08-26;175.66;176;176.04;175.47;173.74;176.48;733619
2020-08-25;175.89;176.95;176.95;175.75;173.71;176.47;760035
2020-08-24;177.02;177.21;177.25;176.73;173.68;176.46;461448
2020-08-21;177.1;176.87;177.37;176.75;173.64;176.43;531631
2020-08-20;176.95;176.58;177.18;176.45;173.61;176.4;562698
2020-08-19;176.57;176.47;176.87;176.39;173.58;176.37;542392
2020-08-18;176.43;176.14;176.51;176.03;173.55;176.31;514883
2020-08-17;176.21;175.61;176.27;175.54;173.53;176.25;470445
2020-08-14;175.76;175.26;175.81;175.25;173.51;176.13;486095
2020-08-13;175.56;176.43;176.6;175.27;173.48;176.01;635292
2020-08-12;176.24;176.86;176.88;175.93;173.46;175.91;642976
2020-08-11;176.66;177.39;177.5;176.56;173.43;175.81;562339
2020-08-10;177.5;177.16;177.64;176.89;173.41;175.71;366166
2020-08-07;177.17;177.38;177.67;177.07;173.38;175.6;394367
2020-08-06;177.6;177.02;177.81;176.92;173.35;175.5;547061
2020-08-05;177.1;177.96;178;177;173.32;175.39;492402
2020-08-04;177.81;177.31;178.01;177.19;173.29;175.29;454198
2020-08-03;177.31;177.44;177.48;177.03;173.26;175.18;380277
2020-07-31;177.52;177.71;178.01;177.25;173.23;175.09;573934
2020-07-30;177.69;177;177.8;176.92;173.2;175;531226
2020-07-29;176.95;177.15;177.29;176.83;173.18;174.91;431543
2020-07-28;177.13;176.51;177.24;176.49;173.15;174.83;494529
2020-07-27;176.8;176.06;176.87;175.96;173.13;174.74;481823
2020-07-24;176.09;176.77;176.98;175.95;173.12;174.67;608253
2020-07-23;176.72;176.79;176.89;176.59;173.11;174.62;404140
2020-07-22;176.93;176.37;176.95;176.2;173.1;174.56;482282
2020-07-21;176.37;176.24;176.45;176.06;173.09;174.49;407568
2020-07-20;176.37;176.19;176.54;175.77;173.08;174.43;465199
2020-07-17;176.27;176.41;176.68;176.1;173.07;174.38;332009
2020-07-16;176.62;176.17;176.74;176.07;173.06;174.33;472597
2020-07-15;176.12;176.03;176.47;175.92;173.04;174.27;538076
2020-07-14;176.2;175.98;176.25;175.74;173.03;174.21;476670
2020-07-13;175.63;176.48;176.49;175.54;173.02;174.18;503253
2020-07-10;176.63;176.41;176.92;176.34;173.02;174.15;477230
2020-07-09;176.52;176.01;176.61;175.96;173.01;174.1;443337
2020-07-08;176.13;176.11;176.37;176.02;173;174.03;435173
2020-07-07;175.88;176.07;176.3;175.72;172.99;173.97;413698
2020-07-06;175.96;175.88;176.15;175.62;172.97;173.9;407429
2020-07-03;176.02;175.98;176.24;175.85;172.96;173.83;244234
2020-07-02;176.01;175.19;176.06;175.04;172.94;173.76;628124
2020-07-01;175.29;176.15;176.2;175.2;172.93;173.68;550704
2020-06-30;176.52;176.58;176.86;176.16;172.91;173.63;534406
2020-06-29;176.66;176.75;176.86;176.35;172.9;173.55;350341
2020-06-26;176.7;176.39;176.8;176.32;172.89;173.47;399577
2020-06-25;176.55;176.11;176.72;176.09;172.88;173.39;526347
2020-06-24;176.01;175.53;176.12;175.2;172.86;173.31;592629
2020-06-23;175.61;175.85;176.13;175.45;172.87;173.22;559797
2020-06-22;176.11;175.74;176.37;175.6;172.88;173.13;440626
2020-06-19;175.68;175.61;175.79;175.3;172.89;173.01;383643
2020-06-18;175.59;175.28;175.76;175.16;172.91;172.91;548603
2020-06-17;175.4;175.34;175.63;174.8;172.93;172.84;596315
2020-06-16;175.4;175.22;175.58;174.9;172.95;172.77;592816
2020-06-15;175.52;175.62;175.98;175.28;172.96;172.7;475613
2020-06-12;175.57;175.25;175.6;174.9;172.98;172.64;513632
2020-06-11;175.24;174.28;175.34;174.12;173;172.58;598108
2020-06-10;173.81;173.47;174.18;173.25;173.02;172.55;644911
2020-06-09;173.46;173.61;174.02;173.3;173.04;172.52;646569
2020-06-08;170.22;170.13;170.27;169.88;173.06;172.47;11884
2020-06-05;169.86;170.55;170.7;169.66;173.11;172.46;183510
2020-06-04;170.54;171.04;171.34;170.37;173.15;172.47;1106159
2020-06-03;170.97;171.66;171.87;170.86;173.19;172.48;1448746
2020-06-02;171.86;171.92;172.15;171.67;173.23;172.47;1109518
2020-06-01;171.65;172.37;172.42;171.47;173.26;172.39;638434
2020-05-29;172.46;172.15;172.57;172;173.3;172.33;810335
2020-05-28;172.05;171.82;172.32;171.68;173.32;172.32;637250
2020-05-27;172.07;172.28;172.53;171.5;173.35;172.33;841045
2020-05-26;172.16;173.11;173.16;172.01;173.38;172.37;705336
2020-05-25;173.06;173.05;173.28;172.98;173.4;172.45;136199
2020-05-22;173.12;173.11;173.52;172.93;173.42;172.53;460081
2020-05-21;173.15;172.89;173.27;172.66;173.44;172.62;432622
2020-05-20;172.72;172.76;172.97;172.51;173.45;172.72;547619
2020-05-19;172.7;172.82;173.11;172.26;173.47;172.85;685895
2020-05-18;173.16;173.75;174.09;172.61;173.48;172.97;678104
2020-05-15;173.74;173.62;174.23;173.59;173.49;173.07;471060
2020-05-14;173.65;173.56;174.08;173.5;173.5;173.15;540227
2020-05-13;173.63;173.55;173.92;173.41;173.5;173.23;550622
2020-05-12;173.37;173.18;173.49;172.8;173.5;173.31;616386
2020-05-11;173.53;173.47;173.74;173.13;173.51;173.37;445976
2020-05-08;173.77;173.87;174.24;173.52;173.51;173.42;302213
2020-05-07;173.89;173.49;174.08;172.89;173.51;173.46;652672
2020-05-06;173.3;174.15;174.23;173.19;173.51;173.5;599619
2020-05-05;174.41;174.13;174.55;173.42;173.51;173.53;642956
2020-05-04;174.04;174.37;174.69;173.77;173.5;173.54;497878
2020-04-30;174.43;172.95;174.57;172.94;173.5;173.55;780386
2020-04-29;173.06;172.75;173.28;172.58;173.49;173.55;531309
2020-04-28;172.75;172.4;172.84;172.09;173.49;173.58;423808
2020-04-27;172.45;172.68;172.91;172.23;173.48;173.62;392523
2020-04-24;172.76;172.38;172.87;172.27;173.48;173.65;417984
2020-04-23;172.1;171.85;172.48;171.29;173.48;173.68;571166
2020-04-22;172;172.71;172.95;171.67;173.48;173.72;517771
2020-04-21;172.91;172.54;173.26;172.45;173.49;173.77;528249
2020-04-20;172.41;172.65;173.01;172.19;173.49;173.8;392721
2020-04-17;172.85;172.44;172.89;172.17;173.5;173.83;299089
2020-04-16;172.67;172.43;172.9;172.04;173.5;173.85;459933
2020-04-15;172.68;171.42;172.78;171.36;173.5;173.88;532337
2020-04-14;171.54;170.47;171.71;170.28;173.51;173.93;273464
2020-04-09;170.9;170.12;171.09;170.01;173.51;174;455321
2020-04-08;170.46;170.79;171.31;170;173.52;174.07;620310
2020-04-07;170.49;171.81;171.9;170.24;173.53;174.14;567349
2020-04-06;171.82;171.85;172.05;171.42;173.54;174.21;319103
2020-04-03;172.06;171.96;172.44;171.8;173.55;174.26;391643
2020-04-02;171.92;172.56;172.6;171.6;173.55;174.28;540021
2020-04-01;172.57;172.7;173.48;172.23;173.55;174.3;483245
2020-03-31;172.51;172.84;173.16;172.33;173.55;174.3;508923
2020-03-30;173.6;172.94;173.83;172.62;173.55;174.29;427475
2020-03-27;172.56;170.95;173.07;170.9;173.54;174.25;560941
2020-03-26;171.07;169.69;171.35;169.69;173.54;174.23;545087
2020-03-25;169.62;170.5;170.78;169.34;173.54;174.25;464922
2020-03-24;170.27;171.13;171.38;170.19;173.55;174.28;454207
2020-03-23;171.12;170.69;171.54;170.22;173.55;174.3;496860
2020-03-20;170.42;168.53;170.84;168.52;173.55;174.29;543197
2020-03-19;167.94;170.01;171.18;167.52;173.56;174.31;813148
2020-03-18;168.79;171.39;171.39;168.24;173.57;174.37;879198
2020-03-17;171.93;172;172.47;170.9;173.56;174.43;773971
2020-03-16;172.17;174.6;175.25;171.97;173.55;174.44;623389
2020-03-13;174.17;176.32;176.57;173.12;173.53;174.44;1007324
2020-03-12;176.5;176.81;177.64;175.9;173.5;174.4;1009816
2020-03-11;176.77;177.07;177.91;176.55;173.46;174.29;1012794
2020-03-10;177.59;177.55;177.91;175.41;173.41;174.17;1282692
2020-03-09;178.23;177.21;179.31;177.05;173.36;174.05;994789
2020-03-06;179.44;179.02;179.56;179;173.31;173.91;12754
2020-03-05;178.59;177.55;178.9;177.5;173.25;173.75;167781
2020-03-04;177.9;178.23;178.36;177.46;173.19;173.61;1170286
2020-03-03;177.74;177.41;178.25;176.83;173.14;173.48;1843311
2020-03-02;177.83;177.82;178.38;177;173.08;173.37;1984519
2020-02-28;177.46;176.52;177.79;176.52;173.03;173.25;1463490
2020-02-27;176.58;175.99;176.89;175.86;172.97;173.14;1342659
